Decoy,RMSD vs. CytbX
10925069_CytbX_Rosetta_Monohemedesign__0001,0.653
10925069_CytbX_Rosetta_Monohemedesign__0002,0.631
10925069_CytbX_Rosetta_Monohemedesign__0003,0.78
10925069_CytbX_Rosetta_Monohemedesign__0004,0.649
10925069_CytbX_Rosetta_Monohemedesign__0005,0.762
10925069_CytbX_Rosetta_Monohemedesign__0006,0.797
10925069_CytbX_Rosetta_Monohemedesign__0007,0.779
10925069_CytbX_Rosetta_Monohemedesign__0008,0.679
10925069_CytbX_Rosetta_Monohemedesign__0009,0.65
10925069_CytbX_Rosetta_Monohemedesign__0010,0.653
